,12/31/2023 0:00,12/31/2022 0:00,12/31/2021 0:00,12/31/2020 0:00,,,
TotalRevenue,"22,258,000,000","24,911,000,000","22,202,000,000","21,852,000,000",,,
CostOfRevenue,"13,571,000,000","14,689,000,000","13,368,000,000","13,659,000,000",,,
GrossProfit,"8,687,000,000","10,222,000,000","8,834,000,000","8,193,000,000",,,
OperatingExpense,"7,191,000,000","7,759,000,000","7,065,000,000","7,177,000,000",,,
OperatingIncome,"1,496,000,000","2,463,000,000","1,769,000,000","1,016,000,000",,,
,,,,,,,
EBITDA,"2,944,000,000","3,546,000,000","3,227,000,000","2,119,000,000",,,
TaxEffectOfUnusualItems,"200,000","-25,600,000","46,463,136","-28,600,000",,,
TaxRateForCalcs,0.2,0.2,0.141225,0.2,,,
NormalizedEBITDA,"2,943,000,000","3,674,000,000","2,898,000,000","2,262,000,000",,,
TotalUnusualItems,"1,000,000","-128,000,000","329,000,000","-143,000,000",,,
TotalUnusualItemsExcludingGoodwill,"1,000,000","-128,000,000","329,000,000","-143,000,000",,,
NetIncomeFromContinuingOperationNetMinorityInterest,"660,000,000","4,201,000,000","1,632,000,000","-2,520,000,000",,,
ReconciledDepreciation,"1,087,000,000","1,140,000,000","1,095,000,000","1,132,000,000",,,
ReconciledCostOfRevenue,"13,571,000,000","14,689,000,000","13,368,000,000","13,659,000,000",,,
EBIT,"1,857,000,000","2,406,000,000","2,132,000,000","987,000,000",,,
NetInterestIncome,"41,000,000","-125,000,000","-181,000,000","-152,000,000",,,
InterestExpense,"358,000,000","222,000,000","206,000,000","244,000,000",,,
InterestIncome,"407,000,000","174,000,000","75,000,000","68,000,000",,,
NormalizedIncome,"659,200,000","4,303,400,000","1,349,463,136","-2,405,600,000",,,
NetIncomeFromContinuingAndDiscontinuedOperation,"665,000,000","4,250,000,000","1,623,000,000","-2,523,000,000",,,
TotalExpenses,"20,762,000,000","22,448,000,000","20,433,000,000","20,836,000,000",,,
TotalOperatingIncomeAsReported,"1,688,000,000","2,318,000,000","2,158,000,000","885,000,000",,,"1,496,000,000"
DilutedAverageShares,"5,585,923,000","5,670,020,000","5,684,235,000","5,612,418,000",,,
BasicAverageShares,"5,549,468,000","5,614,182,000","5,630,025,000","5,612,418,000",,,
DilutedEPS,0.12,0.75,0.29,-0.43,,,
BasicEPS,0.12,0.76,0.29,-0.43,,,
DilutedNIAvailtoComStockholders,"665,000,000","4,250,000,000","1,623,000,000","-2,523,000,000",,,
NetIncomeCommonStockholders,"665,000,000","4,250,000,000","1,623,000,000","-2,523,000,000",,,
NetIncome,"665,000,000","4,250,000,000","1,623,000,000","-2,523,000,000",,,
MinorityInterests,"-14,000,000","-9,000,000","-22,000,000","-7,000,000",,,
NetIncomeIncludingNoncontrollingInterests,"679,000,000","4,259,000,000","1,645,000,000","-2,516,000,000",,,
NetIncomeDiscontinuousOperations,"5,000,000","49,000,000","-9,000,000","-3,000,000",,,
NetIncomeContinuousOperations,"674,000,000","4,210,000,000","1,654,000,000","-2,513,000,000",,,
TaxProvision,"825,000,000","-2,026,000,000","272,000,000","3,256,000,000",,,
PretaxIncome,"1,499,000,000","2,184,000,000","1,926,000,000","743,000,000",,,
OtherIncomeExpense,"-38,000,000","-154,000,000","338,000,000","-121,000,000",,,
SpecialIncomeCharges,"168,000,000","-65,000,000","156,000,000","-197,000,000",,,
GainOnSaleOfPPE,"168,000,000","7,000,000","66,000,000","3,000,000",,,
OtherSpecialCharges,,,"-90,000,000",,,,
WriteOff,0,"72,000,000",0,0,,,
ImpairmentOfCapitalAssets,,0,0,"200,000,000",,,
EarningsFromEquityInterest,"-39,000,000","-26,000,000","9,000,000","22,000,000",,,
GainOnSaleOfSecurity,"-167,000,000","-63,000,000","173,000,000","54,000,000",,,
NetNonOperatingInterestIncomeExpense,"41,000,000","-125,000,000","-181,000,000","-152,000,000",,,
TotalOtherFinanceCost,"8,000,000","77,000,000","50,000,000","-24,000,000",,,
InterestExpenseNonOperating,"358,000,000","222,000,000","206,000,000","244,000,000",,,
InterestIncomeNonOperating,"407,000,000","174,000,000","75,000,000","68,000,000",,,
OtherOperatingExpenses,"-69,000,000","89,000,000","75,000,000","21,000,000",,,
ProvisionForDoubtfulAccounts,"4,000,000","107,000,000","-16,000,000","171,000,000",,,
ResearchAndDevelopment,"4,327,000,000","4,550,000,000","4,214,000,000","4,087,000,000",,,
SellingGeneralAndAdministration,"2,929,000,000","3,013,000,000","2,792,000,000","2,898,000,000",,,
SellingAndMarketingExpense,,,,"2,898,000,000",,,
OperatingRevenue,"22,258,000,000","24,911,000,000","22,202,000,000","21,852,000,000",,,
