,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Total Revenue,"4,326,000,000","4,466,000,000","4,667,000,000","5,707,000,000","4,709,000,000",
Cost Of Revenue,,"2,530,000,000","2,432,000,000","3,321,000,000","3,056,000,000","3,290,000,000"
Gross Profit,,"1,936,000,000","2,235,000,000","2,386,000,000","1,926,000,000","2,148,000,000"
Operating Expense,,"1,504,000,000","1,836,000,000","2,031,000,000","1,684,000,000","1,679,000,000"
Operating Income,"246,000,000","432,000,000","399,000,000","355,000,000","237,000,000",
,,,,,,
,,,,,,
,,,,,,
Tax Effect Of Unusual Items,0,0,0,0,0,
Tax Rate For Calcs,0.2,0.199566,0.026608,0.2,0.2,
Normalized EBITDA,"246,000,000","700,000,000","660,000,000","998,000,000","504,000,000",
Net Income From Continuing Operation Net Minority Interest,"144,000,000","366,000,000","434,000,000","-51,000,000","130,000,000",
Reconciled Depreciation,,"268,000,000","261,000,000","282,000,000","267,000,000","272,000,000"
Reconciled Cost Of Revenue,,"2,530,000,000","2,432,000,000","3,321,000,000","3,056,000,000","3,290,000,000"
EBITDA,"246,000,000","700,000,000","660,000,000","998,000,000","504,000,000",
EBIT,"246,000,000","432,000,000","399,000,000","716,000,000","237,000,000",
Net Interest Income,,"27,000,000","51,000,000","152,000,000","-37,000,000","-54,000,000"
Normalized Income,"144,000,000","366,000,000","434,000,000","-51,000,000","130,000,000",
Net Income From Continuing And Discontinued Operation,"175,000,000","-146,000,000","434,000,000","-43,000,000","133,000,000",
Total Expenses,,"4,034,000,000","4,268,000,000","5,352,000,000","4,740,000,000","4,969,000,000"
Total Operating Income As Reported,"246,000,000","432,000,000","400,000,000","547,000,000","237,000,000",
Diluted Average Shares,"5,833,333,333","5,562,292,000","5,564,089,000","5,523,785,000","6,650,000,000",
Basic Average Shares,"5,462,126,795","5,509,849,000","5,525,756,000","5,523,785,000","5,529,951,348",
Diluted EPS,0.03,-0.03,0.08,-0.01,0.02,
Basic EPS,0.032072,-0.03,0.08,-0.01,0.024051,
Diluted NI Availto Com Stockholders,"175,000,000","-146,000,000","434,000,000","-43,000,000","133,000,000",
Net Income Common Stockholders,"175,000,000","-146,000,000","434,000,000","-43,000,000","133,000,000",
Net Income,"175,000,000","-146,000,000","434,000,000","-43,000,000","133,000,000",
Minority Interests,,"-3,000,000","-4,000,000","-10,000,000","6,000,000","1,000,000"
Net Income Including Noncontrolling Interests,"175,000,000","-142,000,000","439,000,000","-32,000,000","133,000,000",
Net Income Discontinuous Operations,"31,000,000","-512,000,000",0,"8,000,000","3,000,000",
Net Income Continuous Operations,"145,000,000","370,000,000","439,000,000","-40,000,000","130,000,000",
Tax Provision,,"92,000,000","12,000,000","552,000,000","46,000,000","115,000,000"
Pretax Income,"145,000,000","461,000,000","451,000,000","512,000,000","130,000,000",
Other Income Expense,,"3,000,000","1,000,000","5,000,000","-25,000,000","-13,000,000"
Earnings From Equity Interest,,"3,000,000","1,000,000","4,000,000","-25,000,000","-13,000,000"
Net Non Operating Interest Income Expense,,"27,000,000","51,000,000","152,000,000","-37,000,000","-54,000,000"
Total Other Finance Cost,,"-27,000,000","-51,000,000","-103,000,000","37,000,000","54,000,000"
Other Operating Expenses,,"-345,000,000","-7,000,000","148,000,000","-107,000,000","-45,000,000"
Research And Development,"1,116,000,000","1,134,000,000","1,135,000,000","1,092,000,000","1,067,000,000",
Selling General And Administration,"692,000,000","715,000,000","708,000,000","787,000,000","697,000,000",
Operating Revenue,"4,326,000,000","4,466,000,000","4,667,000,000","5,707,000,000","4,709,000,000",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,0.032038802,,,,,
